x(cm),U(mV),Offset (mV),B(mT) ohne Offset,B(mT) mit Offset,Offset (mT),Offset (-mT)
-4,5.5,0,0.022,0.022,0,0
-2,9,0.785714286,0.036,0.039142857,0.003142857,-0.003142857
0,12,1.571428571,0.048,0.054285714,0.006285714,-0.006285714
2,16.5,2.357142857,0.066,0.075428571,0.009428571,-0.009428571
4,20.5,3.142857143,0.082,0.094571429,0.012571429,-0.012571429
6,22.5,3.928571429,0.09,0.105714286,0.015714286,-0.015714286
8,23.5,4.714285714,0.094,0.112857143,0.018857143,-0.018857143
10,22.5,5.5,0.09,0.112,0.022,-0.022
12,28,0,0.112,0.112,0,0
14,29,1,0.116,0.12,0.004,-0.004
16,30,2,0.12,0.128,0.008,-0.008
18,30.5,3,0.122,0.134,0.012,-0.012
